listri a vrezel	lestr-brezel
reposvan	repozvan
darc'ha	darc'hañ
spalouër bras	sparfell-vras
reneuéamant	renevezamant
tafia	tafia
déjunet	dijuniñ
cresserelle	kreserel
an drevach	trevaj
goustet	gousti?
ar c'hlask	klask
souten	souten
kigeret	kigeriñ
dizarle	dizarle
bali sant Jakez	Jakez
lovradur	lovradur
ar c'hlaskerien ho bouëd	klasker-e-voued
sal	seul
Daleer	daleer
razein	raziñ
daoulinet	daoulinet
kuneheg	gwinizheg
prest	prest
a zicouras	sikour
meaz	maez
troc'her-coat	troc'her-koad
divehet	divec'hiañ
discrognet	diskrognet
farouel	farouell
pors-cloz	porzhkloz
gourgammou	gourgamm
Pistaon	pistaon
a pet	pet
fumi	fumañ
avréhussan	avrec'hus
dihouilhet	dihouilhet
demeus	dimeus
dinac'hiou	dinac'h
besiadou	bezia
finisa	finisañ
esterloup	esterloup
morvleizi	morvleiz
sparv	sparf
instituet	instituañ
dem-anaout	damanavezout
auter	aoter
divoutona	divountonañ
Paludenn	paludenn
troc'h-goug	troc'h-gouzoug
stalerez	stalerezh
gomport	komport
ar gastidigez	kastidigezh
Doucig	dousik
dic'hlaignet	dic'hlanniet
isfond	isfont
o voenni	gouenniñ
avantachi	avantajiñ
dizañtren	dizantren
votinesen	botinezenn
ur brosen	prozenn
crisset	kriset
koulsoc'h	koulz
renoncereah	renoserezh
chapel croaz	chapel-groaz
dislea	dizleañ
divraza	divrazañ
Kefiniañtez	kevniantez
eih-diat	eizhteziad
clore	klor
toump	toump
beteg-hen	betek-henn
bag	bag
duta	tuta
mar-dan-doustik	mardandoustik
moumou	moumoun
lardous	lardous
divoaz	divoas
dirouestl	dirouestl
dic'hlac'har	dic'hlac'hari
morbig-marellet	morbig-marellet
gabanen	kabanenn
erec	ereg
impar	ampar
nervennet	nervennet
bouillas	bouilhas
heuzañ	heuzañ
hadkoachet	adkoacha
greadigez	graedigezh
taneoc'h	tane
scrign-dent	skrign-dent
dinahein	dinac'hiñ
skora	skorañ
beur-savetei	peursaveteiñ
fellout	fellel
mouistet	mouestet
richen	richen
takounet	takonet
ar c'horred	korr
spled	spled
kommand eost	koumanant-eost
mane	mann
c'hollad	kollad
terriet	terriet
mignaoual	mignaoual
lanevez	lannevez
polisenni	polisenniñ
chalounessou	chalones
einebage	enebaj
prozen	prozenn
garinebet	garenebiñ
tripoterez	tripoterezh
Sentuz	sentus
peur-glasq	peurglask
motennet	motennet
goal-guemeret	gwallgemeret
dissimur	disimur
ged	get
a ziadost	diadost
beon	beon
morléein	morleiñ
thereza	tereza
fumi	fuma?/fumi?/fumal
corgam	gourgamm
comparabl	komparapl
ankinus	ankenius/ankenus
ingal	ingal
lipousiez	lipouziezh
fass a fass	fas-ha-fas
attrapet	atrapet
poah	poah
miller	miller
domach	domaj
ergentaou	ergentaou
an drabel	trabell
izilied	iziliet
morfad	moarvat
ispridet	ispridet
dleour	dleour
kouita	kuita
astenn-gouzoug	astenn-gouzoug
rebutet	reputañ/reputiñ
oliou	oliou
envoadet	enwadet
oll-pur	hollbur
diac'huz	diyac'hus
meuta	meuta
laouik	laouig
azprena	asprenañ
diskianteka	diskiantek
kuh	kuzh
ar gristenach	kristenaj
frak	frak
diankenia	diankeniañ/diankenat
iforna	ifornañ
scorn	skorn
be-vech	bewech
setim	setim
diboanit	diboaniañ
e zivras	divrazañ
eizdezyeg	eizhteziek
marc'hed	marc'het
pempiao	pempigañ
realamant	realamant
zouellerez	touellerezh
vourc'h-Venn	Bourc'h-Wenn
chalquet	chalket
tourkejou	tourked
sar-galon	sargalon
astafo	hastafo
levenedigez	levenedigezh
digourachi	digourajiñ
dizesk	dizesk
anavout	anavezout
a dlevezo	dlevezout
ar peurliesa	peurliesañ
gimaçus	grimasus
vindrail	mindrailh
alc'houezet	alc'hwezet
glazennek	glazennek
spouronnuz	spouronus
a ziabarh	a-ziabarzh
nouz pegeit	nouspegeit
trabas	trabas
spurmanter	spurmantiñ
eur wianen	gwianenn
flastr	flastr
leneu	lenn
penfolet	pennfollet
dizoan	dizoan
distalav	distalaf
politik	politik
skridou	skrid
lusquemanteu	luskamant
diouech	diouch
didroel	didroell
a ziscamp	diskampañ
loskus	loskus
glaf	glav
iskuz	iskuz
tantationeu	tantasion
tardemant	tardamant
asgoalc'hit	azgwalc'hiñ
droug-preseguêres	droukprezegerezh
pillerad	pilerad
vrea	brae
trapout	trapout
peurest	peurrest
kornouriez	kornouriez
diwikhofreet	diwikefreet
paguig	bag
Lodennek	lodennek
æstig	eostig
gamdroïeu	kammdro
koañtiz	koantiz
surtout	surtout
sul	sul
aoter	aoter
ma jouisont a	jouisañ
be-vech	bewechbewezh
krot	krot
mouralio	morailh
a vamen	avamañ
abascder	habaskter
toupin	toupin
Izkuz	iskuz
farcerez	farserezh
fuzillet	fuzuilhañ
god	kod
renket	renket
Lard-toas	lart-toaz
rebechou	rebech
c'houip	c'hwib
ampoesounerez	ampoezonerezh
divehet	divec'hiadivec'hadivec'hi
compagnunez	kompagnunezh
divroidi	divroad
brisilieu	brezel
piltoz	piltos
er hloehen	glizhenn/gwlizhenn
léprus	lepruz
diboell	diboell
leaz	leaz
barvier	barver
riolen	riolenn
multrer	muntrer
peur-rest	peurrest
edok	edek
ribin	ribin
c'hoar-gaer	c'hoar-gaer
had-dresset	addresa
kompez	kompez
andon	andon
eur ganen	kanenn
temjo	temzioù
Koaza	koazhañ
trouc'her-buzug	troc'her-buzhug
ali	ali
hoarnation	gouarnasion
taoliou amzer	taol-amzer
librance	librañs
malevennet	malevennet
stadudet	statudañ
Soubenna	soubennañ
hadrei	adreiñ
barriquad	barrikad
dûquel	kel
boset	boset
marc'h kulier	marc'h-kulier
interior	interior
vaille	vailh
Semenn	semenn
trec'h	trec'h
gouall vankout	gwallvankout
skañtek	skanteg
goroadenn	goroadenn
Paogamm	pavgamm
flojeal	flojeal
zaotr	saotr
a ro deomp da anaout	reiñ
carmelitezed	karmelitezed
minoten	minotenn
nadozet	nadoziñ
zieubi	dieubiñ
gwall	gwall
béiein	beziañ
aridennet	aridennet
accouragein	akourajiñ
spont	spont
æren	aeren
fic'h	fic'h
kougouleet	kougoulaat
dilabour	dilabour
skurpul	skorpul
sich	sich
cetu	setu
divend	divent
merzerentiou	merzherinti
estremded	estremded
chif	chif
rucunus	rukunus
iaou Bask	Yaou-Bask
belostou	belost
bromission	promision
dic'hoûti	dic'houtiñ
paon	paoñ
reglet	reglet
ibila	ibilañ
eil-beved	eilbevañ
treujou	treuzoù
vovoau	vovo
ploboro	ploboroù
zistrafuilla	distrafuilha
gleu	krao
Gaouierez	gaouierezh
rimaderez	rimaderezh
diachap	diachap
humenidiguez	humenidigezh
calculi	kalkulañ
Sklasa	sklasañ/sklasiñ
pengeneign	pengenniñ
autramant	otramant
zislea	dizleañ
dleourien	dleour
risk	risk
duemèt	tommaat
beza e chal gant	chal
pibit	pibid
ostañtet	ostant
frauder	floder
dizenoui	dizenoeiñ
precho	pres
asvoalc'hi	azgwalc'hiñ
a flao	flav
mor-gragez	morwreg
e rapin	rapinañ
glaouaer	glaouaer
diez	diaez
Livna	livnañ
Laou	Laou
squeudus	skedus
takounerez	takonerezh
disouillet	disouilhañ
Didrompein	didromplañ
mailluret	mailhuret
petoare	petore
liñtrouer	lintrouer
jaugeable	jaojapl
spurja	spurjañ/spurjiñ
dic'hourda	dic'hourdañ
flatrerez	flatrerezh
vousc'hoarzin	mousc'hoarzhin
pave	pavez
divlas	divlaz
patato	patato
intennein	intenniñ
ravoderez	ravoderezh
Dieubi	dieubiñ
diahuéléccan	diavelek
palarennad	palarenn
kollou	koll
hent	hent
Sederaat	sederaat
rumadigueah	rummadigezh
bourrus	bourrus
Morad	morad
Takon	takon
parea	pareañ
itik	itik
handad	kantad
annamad	annamat
Blasfematored	blasfematour
guall Elez	gwallael
havreqéet	havrekaat
substantein	substantiñ
gwarm	gwaremm
doan	doan
Abafet	abafet
loré	lore
beo-buez	bev-buhez
didommagein	dizomajiñ
sikour ouz	sikour
sermant	sermant
a izelea	izelaat
dourne-oh-dourne	dorn-ouzh-dorn
Reed	reed
degass	degas
Glazenn	glazenn
mitik	mitig
coataat	koataat
bastet	bastet
harpa ouc'h	harpañ
hadgwelet	adwelout
staolet	steurel
divoursein	divoursañ
kenklao	kenklav
fuladen	fuladenn
goaf	goaf
onix	oniks
asgoalc'hit	azgwalc'hi
dûardur	duardur
fals-kredennou	falskredenn
peur-laza	peurlazhañ
solanelamant	solennelamant
skubunadou	skubennadoù
plantedigez	plantedigezh
dousen	dousenn
pussuniet	pusuniet
dichelpan	dichelpa
vis en advènt	Azvent
nezadegou	nezadeg
c'hoari toul-pouliq	toullpoullig
penijen	pinijenn
goal-stad	gwallstad
chinad	sinaat
soken	zoken
goal-hent	gwallhent
peulvan	peulvan
dic'halloudez	dic'halloudezh
berc'henna	perc'hennañ
skob	skob
war vlar	war-vlar
spinac'ha	spinac'hañ
moalet	moalañ
flastret	flastret
diraizouni	direzoniñ
châs	chas
flaoñ	flav
dibratik	dibratik
marc'h-ær	marc'h-aer
tas	tas
gleupach	gleupaj
dic'hloar	dic'hloar
ampouezounet	ampoezonet
divouton	divounton
fourradou	fourrad
a hurlam	gourlamm
p'eguir	peogwir
kofili	kofilis
carantenez	karantenez
oll-c'halloudeg	hollc'halloudeg
Ken-eskop	keneskob
amparval	amparfal
drail-vein	drailhvein
hardel	kardell
grollerès	korollerez
founta	fontañ
noaz-bloc'h	noazh-blouc'h
annamiz	Annamad
drompladurez	trompladurezh
garnabet	garenebiñ
zismantra	dismantrañ
pistiget	pistigañ
disloñnket	dislonket
sevennet mad	sevenet
kalzennou	kalzenn
melodiussa	melodius
manioc	maniok
penn-foll	pennfoll
had-dresset	addresañ
mestr-danz	mestrdañs
pa	pa
koll out	koll
symbolen	simbolenn
goal-beden	gwallbedenn
enn dribunal	tribunal
gulator	kulator
visenadvnt	Azvent
arc'hdiakr	arc'hdiakr
bevech ma	bewech
ober klask	klask
gouskaë	kousk-aez
fablen	fablenn
dijaden	dichadenn
troublidiguez	troublidigezh
traouillerou	traouilher
disc'hlac'harin	disc'hlac'hariñ
ilinok	ilinek
labaskenn	labaskenn
dreuz	truez
disentamant	disentamant
Antifonennou	antifonenn
dem-velen	damvelen
brinnoni	breinoni
deur rid	red
soignus	sognus
lized	lizet
pladennec	pladennek
Rogasionou	rogasion
ramplus	ramplus
meis	meiz
arabet	arab
berdallan	peurzallañ
receuerion	resever
alert	alert
aridennad	aridennad
bragoniou	bragonio
lenn	lenn
bourouz	bourouz
Têtebie	tetebie
gamz	kamz
