bancqouilinocq	ilinek
aviade	gwiadi
luniou	Lun
Diranned	dirannet
ed	megel
ciquet	siket
disaezit	disaez
merzerentiou	merzherinti
broudryen	broder
taolru	ru
lorvez	lorwez
doueserez	touezerezhtouezierezh
furol	furol
avozadou	avozado
propic	propik
abardaveznoz	abardaevezhnoz
ioulc'ha	yourc'ha
Enemzic'hoantaad	dic'hoantaat
honbede	bede
badinach	badinaj
flatrerezed	flatrerez
Izella	izel
ingaillerion	ingailher
izelaat	izelaat
louzaouat	louzaouad
diboaniet	diboaniet
peurliesa	peurliesa
enemzantelaat	santelaat
euzi	euzhi
keeluz	kehelus
avent	avent
parveni	parveni
begulenod	bugulanaod
divodeste	divodest
c'hoaritoulpouliq	poullig
falvrud	fallvrud
azrannou	azrann
ebleo	eblev
zec'hor	sec'hor
foug	foug
henmahen	hennmahenn
randonen	randonenn
Forester	forester
countantamachou	kontantamant
Arvlaz	blaz
uzached	uzajet
skedus	skedus
guerh	gwerc'h
Trouskenna	trouskenna
grimaseryen	grimaser
anndaperien	taper
undinrdt	tenerded
enemdourta	tourtaltourta
Herri	Herri
glozard	glozard
dervennou	dervenn
herder	herrder
doare	ebat
noazpik	noazhpik
damzec'h	damsec'h
gonvor	govor
froderez	floderezh
avoultri	avoultri
arc'hirritan	karrtan
sammusoc'h	sammus
bistach	pistach
diwinkelat	diwinkelat
mouzik	mouzhig
voardoan	wardoan
goalisprit	gwallisprid
rizennouvoguer	rizennvoger
Tourqed	tourked
tillach	tilhaj
pouldroennou	poulldroenn
tetanos	tetanoz
dinobli	dinobli
azic'haloup	dic'haloupat
trousqennou	trouskenn
lurius	luzius
aboc	abok
scanvat	skavaat
consolusset	kosolus
Avoultrryen	avoultreravoultrier
uz	uz
ieuet	yeu
koumpez	kompez
chiquet	chiket
amzer	amzer
boleet	boleaboleatbolei
Chipotal	chipotalchipotat
forban	forbann
Koantoc'hzo	koant
menthe	mant
ober	furch
Houp	houp
diliamm	diliamm
labousikhorZalver	labousighorSalver
uzulierezo	uzurerezh
urhachemar	kasmare
enhec'herc'hen	ekerc'henn
henthouarn	henthouarn
afars	afars
famina	famina
lastreg	lustrugenn
warc'horre	warc'horre
alouberez	alouberezh
abistigas	pistiga
distagerien	distager
ispicer	ispiser
koreo	korreenn
gwel	gwall
tremeniat	tremeniad
voarem	gwaremm
Kernu	KernevKerne
keuneudet	keuneudet
rimadelled	rimadellet
klah	klask
dourbarr	dourbarr
cavlet	kavellet
ginaouegioc'h	genaouegigenaouegal
lastrussoc'h	lastrus
baliSJakes	Jakez
flipad	flipaflipatflipi
Zouarneneziz	Douarneneziz
horrerus	orrolus
redia	redia
arvaleanted	baleant
liorzadou	liorzhad
panerhada	panerhada
Nil	Nil
laervar	laer
edrohagezidro	didrei
veanre	anat
Goeliadgoueliad	goueliad
brizaotrouien	brizhaotrou
noazoutouzomp	noazoutnoazinoaz
touer	touer
sex	seks
diskorpul	diskorpul
Eurgarkleiz	kerc'heiz
Kaskalat	kaskalat
filosofed	filozof
zil	sil
Sisakre	sisakre
diroll	diroll
dambonr	damboner
caractr	karakter
arc'halvar	kalvar
fidandoustac'h	fidamdoustac'h
splannder	splannder
porzarzilvidigez	silvidigezh
evembzec	vembzec
guiaderez	gwiaderez
bayounettez	baionetez
disinoui	dizenoei
Sigougn	sigognsigon
rebechet	rebechrebechirebechat
morgizhier	morgazh
parkeerleton	parkleton
vermisel	vermisel
aissite	isita
palefarzet	palefarzhet
daoubleget	daoubleget
Chetuperac	setu
eneminformi	informi
skora	skora
gorreKerne	GorreKernev
hedamzer	hedamzer
poullomor	poullmor
dic'hoero	dic'hwerv
argaptived	kaptiv
lesvarn	lezvarn
minkrapoas	maenkrampouezh
glaoeier	glav
spled	spled
Goalldroet	gwalldroet
tor	tor
Thereza	Tereza
vonjourein	bojouri
bidac'h	bidoc'h
stouet	stouistouastouetstouo
blean	plaen
troubl	troubl
skolieta	skoliataskolata
enemdizec'hedin	disec'hedi
isfond	isfont
tommhatomm	tommhatomm
riblennou	riblenn
autramanteguet	otramant
urhourem	gourem
Killeri	kilheri
neuen	neuzenn
arneuog	arnevek
plafet	plavet
hoc'hunan	hoc'hunan
difranjellat	difrajellat
trihateri	trihanteri
Magnez	magnez
mavezokoanietd'in	koaniakoagnikoana
Franseza	Fraseza
lsa	laesha
dishenvelded	dishevelded
egzesour	egzesour
roustadou	roustad
Tadanorgouilhagargaou	tadanorgouilhhagargaou
karoulle	karoulle
Poullet	poullet
azal	azal
fled	fled
Noal	NoalPondivi
azizantellaz	dizantella
tanfouestras	tanfoestra
agordigelle	kordigella
eziforhas	diforc'hidiforc'hadiforc'h
sakramantanaoter	aoter
pounsoun	poson
oblijet	oblijet
sklasan	sklasasklasi
reconciliation	rekosiliasion
pevarc'hant	pevarc'hant
diali	diali
c'horre	gorre
c'hodisal	godisalgodisa
andaolsantel	taolsantel
torgennek	torgennek
vikelJesusChrist	vikelJezuzKrist
dasado	tasad
talmad	talmad
regnet	regnet
marvaill	marvailh
negizoket	kizakizi
dirann	dirann
iaouankizi	yaouankizi
Entronozvintin	entronoz
Aita	'ta
rederienvor	redermor
milinwenteres	milinwenterez
abeurglask	peurglask
bistouff	boustouv
arvenac'hbeleien	manac'hbeleg
aziabarhd	aziabarzh
Triakler	triakler
Abazeu	abazo
hijendoa	hij
hadon	andon
Krapinella	krapinella
spereddebret	debret
Butunfri	butunfri
peurvaro	peurvarv
eurganen	kanenn
c'hloriuzded	gloriusted
azohinou	eno
arc'hilcrog	kilkrog
arvranken	brankenn
miraculus	mirakulus
dic'hougadenn	dic'houzougadenn
gest	gwest
ramezeneignramzeneign	ranezenni
eurc'heneskob	keneskob
Berric	Berrig
Plianiz	Plianiz
dolbac	talbaktalbok
abln	plaen
dizaoni	dizaoni
Enhofard	part
remarquable	remarkapl
dic'hiz	dic'hiz
faussonie	faosoni
kusmudika	kuzhmuzika
anemised	anemiz
fichelladou	fichellad
reveursi	reveulzi
avaredavare	avaredavare
anerzkaloun	anerzhkalon
seblandiq	seblant
arac	arak
hentlouarn	hentlouarn
goalloberou	gwallober
avriadkorf	avriadkorf
leazrez	laezherezh
wargoll	koll
askiantvad	skiantvat
chomabla	ablas
bremaik	bremaik
azindanguz	azindanguzh
dissorb	disorb
gouander	gwander
coublad	koublad
jentillt	jentilaat
sciel	siell
treuzi	treuzitreuza
tignol	tignol
c'hoelMikeal	Mikael
dizesk	dizesk
eihvet	eizhved
dizalled	dizalla
aluche	lucha
absint	absint
dourbeuz	beuz
domajou	domaj
doubleviou	doublevio
tregondad	tregontad
mekanik	mekanik
rakrak	rak
Piou	piou
wawawa	way
difraostet	difraostet
ingroez	engroez
faceaface	fashafas
Tehuignoud'ein	gwignalgwigni
dibled	dibled
sklabezet	stlabezetsklabezet
kennadanfinfoeltro	tanfinfoeltra
makoahe	koazhakoazhi
riscusbras	riskus
squdet	skeudi
broffani	profani
commotoc'h	komod
cantoul	kantol
Doucrus	douserus
peskedkrogennek	peskkrogennek
Qedez	kedez
gairr	keur
Pillerezheguenou	pilerezhegeno
chif	chif
gramherianed	grameliangramerian
Skoanenn	skoanennlaezh
dizurz	dizurzh
fringolou	fringol
aziarscan	azirskav
digoumoul	digoumoul
Penngez	pennegez
kovellek	kofellek
hordosset	hordoset
sunergwer	sunergwer
menirein	menieri
gourvezet	gourvezet
afond	afont
berteikberteiktout	berteik
huguenaud	hugunot
'rC'horporal	korporal
gwano	gwano
Paltokennad	paltokennad
lpre	lepr
pennbah	pennbazh
teurc'hoezet	torc'hwezet
troadoc'htroadganthi	troadouzhtroad
revwet	revevet
divourabl	divourrapl
meillmein	meilhmaen
enemnec'hi	nec'hi
bagoupesketa	bagpesketa
laieuaj	leuoeaj
direligion	direlijion
entanet	entanet
perhuhussoh	pervezhus
soublien	soublien
tignolik	tignol
laour	laiour
dichanz	dichas
Strak	strak
melenok	melenog
fonhour	foevour
ollfur	hollfur
bagueryen	bageer
erder	herrder
caoutholank	lank
Bourbounenn	bourbonenn
oracl	orakl
meadreuzaz	treuzitreuza
Pantei	pantei
pignoun	pignon
aaspreno	asprena
afdnoz	afednoz
skinsal	skisal
dianaves	dianavez
Adro	adro
reoliet	reoliet
eurveachanamzer	amzer
scrijou	skrid
ioufask	YaouBaskYaouFask
urc'hran	kran
enhegerc'hen	ekerc'henn
crouis	krouis
harz	harzh
heheun	eunan
abaster	habaskter
skurpul	skorpul
iec'hedigez	yec'hedigezh
riou	riv
noazoutd'	noazoutnoazinoaz
varnedtol	waranhedtaol
arguistinecqqestenecq	kistineg
chutellat	chutellat
dizispign	dizispign
nebaoun	nebaon
koatkreo	koadkrao
Polozen	polosenn
houst	goust
zet	aezet
dourasen	dourasennek
gouarnamant	gouarnamant
Grisienrz	gwriziennruz
newentiz	nevezinti
derderann	trederenn
kombot	kombod
Koanhoc'ha	koanoc'ha
zleour	dleour
eurvorc'haden	bourc'hadenn
pallennouqesecq	pallennmarc'h
sioulamant	sioulamant
discampet	diskampa
greunadour	greunadergreunadour
begouDoar	begdouar
Liket	liket
breizad	breizhat
leski	laezhki
las	las
hihasshhent	hent
humlotias	lotia
arvoralen	moralenn
fulec'hen	fulac'henn
pipon	pipon
aboell	aboell
Arab	Arab
adaol	adaol
zulc'houel	Sulouel
moust	moust
meudet	meudameudi
filosofi	filozofi
falskredennou	falskredenn
habiltt	abilded
petore	petare
dreali	ali
porteal	portezaportezalportezat
Bater	pater
coublad	koublad
Yvonig	Ivon
arc'houre	arc'houere
avrhad	avrec'had
diluiet	diluziet
Bastien	Bastian
rokeden	rokedenn
goallzamm	gwallsamma
loaioraned	loaraned
pilglao	pilglav
klasktrabasouz	trabas
paloueret	palouerapalouerat
difougue	difouge
argaptivet	kaptiv
azennicgueu	azenig
arbres	pres
o	kad
Aino	eno
difonded	difesonded
abergaledas	peurgaledi
aziwarskan	aziwarskav
adorerion	adorer
boubou	boubou
placet	plaset
gouzilh	gouzer
zfoyan	zefoyan
arbrosesion	prosesion
dizomagein	dizomaji
harpein	harpaharpi
zourbeo	dourbev
scridou	skrid
c'hoariellou	c'hoariell
thologi	toloji
diouc	diouiziek
roudou	roud
SantGultasaRheuys	SantGweltazaRewis
sklent	sklent
dilorhas	dilorc'ha
sul	seul
deledan	delledan
goueziad	goueziad
diousklufet	divsklufet
divlas	divlaz
Miz	miz
eostig	eostig
wiski	wiski
barvier	barverbarvier
hec'harante	karantez
badouell	baduell
lipet	lipet
Vovoau	vovo
pennoukenta	pennkenta
labenna	labenna
oulch	ouelch
pedu	pedu
rescondable	respontapl
hadwelet	adwelout
Vac'harantez	karantez
foennen	foennenn
diabeg	diabeg
didruhdigueah	didruedigezh
mantal	mantal
nsiket	sia
trist	trist
goaremmou	gwaremm
brizdiod	brizhdiot
ne'kuir	nekwir
brochennet	brochennet
II	e
neuet	neuziet
doulltalar	toulltalar
jambezenn	jamezenn
disouil	disouilh
riou	riv
ahinihue	ahiziv
noble	noble
bleudran	bleudran
gwaspell	gwaspell
lousoni	lousoni
melchen	melchon
Pasteei	pasteza
dic'hlac'haraz	dic'hlac'hari
muiedigeah	muiedigezh
eostik	eostig
primhaprim	primhaprim
zerhias	aziriaz
strngouillomp	strangouilha
amzevod	amzevot
dero	derv
nekuir	nekwir
alia	aliaalii
Hanokaer	anvkaer
idenn	edenn
grizilloned	brizilhonet
skanvadurez	skavadurezh
guetezou	get
agetarah	agentarazh
beizik	beizik
lambrissadur	lambrisadur
philozophi	filozofi
muiouzvui	muiouzhmui
consortizou	konsortiz
digoustians	digoustias
avieler	avieler
arganienn	kanienn
meanbenerez	maenbenerezh
dic'hlan	dic'hlan
stankennou	stankenn
idolaerez	idolerezh
hadskoaia	adskoazia
dic'hout	dic'hout
dizunanet	dizunanet
obergoapoc'h	goap
Abadorenn	abadorenn
guedouryen	gedour
goezaerverrentez	berrentez
anderzienkart	terzhienngart
seurezedkonvers	kovers
tazou	tas
diouech	diouch
trapout	trapout
dic'hradet	dic'hradet
bouilla	bouilhas
substantein	substanti
peurglasq	peurglask
amparval	amparfal
Bevechma	bewechbewezh
adrochouk	adrochouk
dizarle	dizarle
ispridet	ispridet
Hagn	hage
giniterfgompes	kompez
rec'hi	rec'hi
drompladurez	trompladurezh
spouronnuz	spouronus
mardandoustik	mardandoustik
andon	andon
forbanat	forbannat
chapelarvadisiant	chapelvadez
'nonchakat	chaokatchaokachaoki
vagajenna	magazenna
spinac'het	spinac'haspinac'hi
rimaderez	rimaderezh
nshadeiz	nozhadeiz
goaf	goaf
arc'hokombr	kokombr
Trouc'herbuzug	troc'herbuzhug
tallabour	taollabour
ziacouragein	diakouraji
farserez	farserezh
menezis	meneziadmenezad
enemadwelat	adwelout
Coataat	koataat
fic'hellerez	fic'hellerezh
loensamm	loensamm
farouel	farouell
ahirded	ahirded
cuylatouryen	kulator
peurest	peurrest
dic'hloar	dic'hloar
kollou	koll
vintinvez	mintinvezh
Eraz	razi
dourbeuz	beuz
harpaouc'h	harpaharpi
hoarnation	gouarnasion
selleryon	seller
dreicheu	tres
stakprenn	stagprenn
god	kod
rebech	rebech
Kenclo	kenklav
eurgompord	komport
discrognet	diskrognet
troiokamm	trogamm
alumetezchimic	chimik
flastret	flastret
eskana	skavaat
corred	korr
goroadennou	goroadenn
noumesq	emesk
diodet	diodet
hopetdoan	doan
Moumou	moumoun
startaat	startaat
brabanser	brabaser
reneuamant	renevezamant
Everz	hewerzh
domach	domaj
Alc'houezet	alc'hwezet
peurlaza	peurlazha
demeus	dimeus
erruet	erruet
beobuez	bevbuhez
eilbeved	eilbeva
Lanevez	Lannevez
pladennec	pladennek
ibila	ibila
polisenni	polisenni
ivlneg	eoulennek
bekfuzil	begfuzuilh
attacion	atasion
gouez	gouez
pilgos	piltos
adlevezo	dlevezout
flat	flatrerezh
ranngalon	ranngalon
Spalourbras	sparfellvras
sentuz	sentus
precho	pres
risk	risk
sermant	sermant
divagannet	difaganet
treujou	treuzo
rec'ha	rec'hi
abostoler	abostoler
melfed	melc'hwed
Setuarpeza	setu
lostarbleiz	lostarbleiz
comanadeost	koumananteost
argastidigez	kastidigezh
trabell	trabell
stalerez	stalerezh
Karoulle	karoulle
ac'hrac'hel	awrac'hell
dic'hourda	dic'hourda
vrea	brae
heuza	heuza
nouzpegeit	nouspegeit
diboell	diboell
kollout	koll
lenn	lenn
aridennet	aridennet
izilied	iziliet
siet	siet
zisfe	disfeiz
Moushwarzin	mousc'hoarzhin
reposuan	repozvan
dremedal	dremedal
andremenidi	tremeniad
distanshadistans	distashadistas
pengeneign	pengenni
diskuil	diskuilh
splez	splez
goantiz	koantiz
Dirabansi	dirabasi
eurvesaeres	maesaerez
piladdour	piladdour
azerhlu	aziwarlaez
skeduz	skedus
egras	egras
disvrot	disvroet
fidoustic	fidoustik
frhettoh	frouezhet
lonkereh	lonkerezh
bikiliat	pikailhat
terinier	terinier
etablisset	etablisa
dishavaledigueah	dishavaledigezh
dourmelis	dourmelis
hentr	entre
tamallou	tamall
intanhuigeah	intavegezh
chipotal	chipotalchipotat
annunan	anunan
prenvetguen	prevgwenn
karg	karg
yodtaryen	yotaer
c'houit	c'hwit
Peuk	peuk
dournerez	dornerez
tammtamm	tamtam
itic	itik
pennbonnet	pennbouzellet
passabl	pasabl
jujet	juji
gwaremm	gwaremm
ranez	ranez
brellentez	brellentez
rabotet	rabotet
disc'hlac'har	disglac'har
Urgribieres	kribierez
marc'hkavo	marc'hkav(o)
anhentse	hent
argaouleden	kaouledenn
arbrosesion	prosesion
Diginklet	diginklet
peurest	peurrest
punet	punet
arFourn	Forn
dornerez	dornerez
urgrousten	kroustenn
fanfarluchou	fafarlucho
arvoulge	rvoulj
dourbil	dourbilh
anderchenburbuennoc	terzhiennvurbuennek
dibourvance	dibourvezas
Legestr	legestr
gripissa	kripisa
dardec	dardek
saoz	saoz
despezus	despezhus
war	foran
divazoulennet	divazhoulennet
enderdran	trederenn
ed	prei
ezigasshed	degasdegasi
opiusa	opiusa
chetui	setu
humstouyas	stouistouastouetstouo
rizennou	rizenn
breintuf	brein
lipet	lipet
zivadelez	divadelezh
zizorc'heni	disorc'henni
zispag	dispak
sqilfadennou	skilfadenn
abaouekeitamzer	amzer
ambarassus	ambarasus
ruanies	rouanez
Hanteraff	hanterahanteri
carabinennou	karabinenn
eltrisa	eltrisa
strepet	strapastrapat
emmerret	emeret
anouezen	havouezenn
ekeitamzerma	ekeitamzerma
MaEghinat	eginad
bistiga	pistiga
taltous	tartouz
quemeretusurerez	uzurerezh
azournad	azornad(o)
galetten	galetenn
sauvet	saovi
Chifal	chifachifalchifi
meinadurez	meinadurezh
allumeteschimig	chimik
ollvadelez	hollvadelezh
lutina	lutina
glosus	gloazus
Bre	bre
providans	providas
humabuset	abuziabuz
eurgur	kur
barbouill	barbouilh
Hirlachenn	hirlachenn
Elamitet	Elamit
nigoudouill	nigoudouilh
diben	dibenn
'instrugein	instruji
Gwazienn	gwazhienn
toked	toked
dibunerez	dibunerez
meritein	meritoutmeritameriti
beziad	beziad
ravolt	ravolt
heunanpenn	eunan
leze	leze
digrogennet	digrogennet
opium	opiom
lonkerez	lonkerezh
hevarc'hlimon	marc'hlimon
provei	profaprofiprof
meanoaled	maenoaled
foenchen	poechenn
c'horoet	goroet
mammoukoz	mammgozh
azanvez	azanvez
chitryen	chinter
dimez	dimez
urzet	urzhet
kegit	kegid
pourceln	pourselen
humzismantou	dismantradismantridismantr
difouge	difouge
zahouarn	saehouarn
enembistiga	pistiga
paterennet	paterennet
morian	morian
douj	douj
hegach	hegaj
agetama	agenta
b	b
'metrak	merak
farserez	farserezh
testeni	falstesteni
eziroulr	dirouli
disanve	dizanavez
bura	pura
Danjer	dajer
rukunuz	rukunus
noumesk	emesk
voerebkoz	moerebkozh
ribisatkrabisat	kribisat
pozn	pozenn
Strobella	strobella
qevendirvy	kevenderv
Toulbennik	toullbennig
Trechonei	trichina
baotdistro	paotrdistro
gobiuz	gobius
gouaad	goavad
nozpad	nozpad
kelzen	kalzenn
dilovret	dilovri
vedita	medita
disenoret	dizenoret
digoust	digoust
pres	pres
reizvuele	reizhwele
ruzven	ruzwenn
didach	didach
vvin	kraoennvevin
necetuqet	setu
nehuhan	nevezhav
azvent	Azvent
usuilleres	uzurerezh
stolu	stol
gwezzedra	gwezsedra
anec'he	nec'hi
damholl	damholl
beurzibenna	peurzibenna
disclration	disklrasion
cava	kava
plantenne	plantenni
eulfennoutan	elfenndan
astraclo	strakla
defian	difias
didach	didach
nvsq	emesk
jacobitd	jakobit
machepain	masapan
eurgotelbif	kontellbif
urhoarem	gwaremm
arc'holera	kolera
bourc'hadenou	bourc'hadenn
enemzisa	disa
adlevezo	dlevezout
divelgret	divergladivergli
Japon	Japon
derveq	dervek
rezmad	reizh
gon	gon
droukprezegerez	droukprezegerezh
liboustren	liboustenn
evelennik	evelhennik
spisonni	spisoni
aveet	aveiaven
harpein	harpaharpi
d'hokaout	dagaout
aabadennou	aabadenno
Nasket	nasket
hunan	eunan
diz	dis
soublien	soublien
accompagnunect	akompagnunekaat
diblas	diblas
voaderessa	gwaderesa
sex	seks
digor	digor
caritellou	karitell
alarc'h	alarc'h
hachu	hach
difeiz	difeiz
ariolen	riolenn
Magazenna	magazenna
breg	preg
Pikerigarguez	pikerigargwez
Monica	Monika
buguelnos	bugelnozbugulnoz
lachentes	lachentez
Arc'hartermestr	kartermestr
finvaden	fivadenn
displica	displika
azespez	despezhi
clicqedou	kliked
youst	youst(ek
arvestrezkear	mestrezkr
diamodein	diamoedi
korzennek	korzennek
pnfond	pennfont
peurdistruja	peurzistruja
fourmus	fromus
kovellek	kofelleg
peurvaro	peurvarv
groahlann	gwrac'hlann
entez	er
acours	akours
zaoudec	daoudek
gant	chal
largantus	largentezus
enembourvuet	pourvui
azoaevezwar	aevezh
zac'helek	sac'hellek
liammet	liammet
grasedigueah	krasedigezh
zalmatenein	salamantenni
perdrachat	peurdrachat
c'hoarezedmager	c'hoarvager
peurdrec'het	peurdrec'hi
abad	abad
Coateat	koataet
piltosek	piltosek
melc'hod	melc'hwed
gaudissal	godisalgodisa
steredenni	steredennisteredenna
raou	rav
dispounta	dispont
ribin	ribin
tribu	tribu
jamezen	jamezenn
didatek	dizantek
ptelek	peteleg
chass	chas
ostant	ostant
spouronus	spouronus
voar	rei
damholl	damholl
mut	mut
evezdet	evezhded
p	pe
ezihanadas	dizanadi
fabourzyo	fabourzh
peurnetaat	peurnaetaat
ezetamant	aezetamant
boanspered	poanspered
dilhadet	dilhadet
mervel	aglavwele
arSperedSantel	SperedSantel
bonnfamm	boufam
Ez	euzh
endalc'het	enderc'hel
bageer	bageer
amzernehu	amzernevez
bodennet	bodennet
dioc'h	diamezek
exemplus	egzamplus
ingros	engroez
recevour	resever
heunan	eunan
qeuzeudiqt	keuzidikaet
ezetat	aezetaat
mezepet	mezepet
zularPuslard	SularPeuzlard
Glaouaerglaouer	glaouaerglaouer
estouent	stouistouastouetstouo
roustadbac'hadou	roustad
gournei	gournatgourni
raquit	rakuit
Trabiden	trabidenn
gnanus	jenasus
ran	ran
druillo	truilha
kammed	kammed
blondin	blondin
zigasontdazonjda	degasdegasi
dal	hentdall
presteu	prest
Lousaounnstauter	staoter
maneur	maneur
brein	brein
Fic'hellat	fic'hellat
veleneq	evelhennik
grouation	krouasion
pezic	pezhig
hainad	anat
gaerbez	kaerbezh
exemplus	egzamplus
Eurbarti	parti
ziam	diam
kozamzer	amzer
dumia	tumia
moret	moret
Sutella	sutellasutellat
kaleteit	kaletaet
doubled	doubledie
diboumbel	dibombell
tenzorier	tezoriertezorer
lorchennek	lorchennek
bailhadou	bailhad
lounkerez	lonkerezh
Aslavaret	azlavarout
ouilereah	gouelerezh
sigur	esigur
Lizerennou	lizherenn
Kofignon	kofignon
von	von
Aino	eno
miraculus	mirakulus
antiphonenn	antifonenn
dourtan	dourtan
goalguemret	gwallgemeret
Roans	rouanez
jacqezen	jakezenn
digenter	digenter
chagrinet	chagrinet
varhedtost	warhedtost
bgad	begad
Setuama	setu
Ambros	Ambroaz
dic'hloar	dic'hloar
suitteu	suit
gwelead	gwelead
endinrdt	tenerded
goudouerou	goudor
Grefad	grefad
divezusa	divezhus
betechen	betekhenn
spont	spont
houhunan	hoc'hunan
arodel	rodell
birvik	birvik
c'hinaougui	genaouegigenaouegal
eurganen	kanenn
hantis	hantiz
ebad	ebat
maltred	mart
guiw	gwiv
hazober	azober
beveichma	bewechbewezh
ruellat	ruellat
morsyouprenn	morzprenn
minor	minor
merherhelluru	Merc'her
rangennet	rajennet
disalbad	dizalbad
scoazellouplec	skoazellbleg
dsavoein	dizavoui
ebateogantho	ebat
Urbater	pater
eursizunvezioubennag	sizhunvezh
tanflammet	tanflammet
velkoniet	melkoniet
caijaj	kejaj
erwen	dervenn
d'nou	eno
feal	feal
broiouhuel	broiouhel
glaw	glav
ederm	termaltermat
vantredistag	vantredistag
mahet	mac'het
para	para
chentilaet	jentilaat
Catalog	katalog
crouiset	krouizet
I	lug
rozellopillig	rozellbillig
erder	herrder
abellamzer	abellamzer
rebreicheu	rebech
pennlzen	pennlezenn
estonaploc'h	estonapl
taulsel	taolsell
MariFranseza	Fraseza
Asederre	sederaat
divec'hia	divec'hiadivec'hadivec'hi
erhogui	koegi
lec'hiennou	lec'hienn
tabernacleu	tabernakl
anans	asas
feilhennoc	feilhennek
droukkelou	droukkelo
o	bolad
digompez	digompez
Gwic'hal	gwic'hal
Kozrejis	rejis
unvan	unvan
cohle	kole
guelbrun	gellbrun
askiltre	skiltra
mega	mega
divoutou	divoto
neketebad	ebat
skeduz	skedus
dic'houtas	dic'houti
tric'hant	tric'hant
arvambarrez	mammbarrez
dirglet	direglet
kannennad	kantennat
OKroaz	kroaz
dishalana	dizanala
semplet	semplet
Glormeneh	kloervenec'h
Gouigour	gwigour
estonapl	estonapl
Londrez	Londrez
fablennou	fablenn
arc'heskopti	arc'heskopti
andromplson	tromplezon
gantroudou	roud
diarvar	diarvar
zrabel	trabell
ptreure	petore
difazius	difazius
poanSantCadou	poansantKadou
kiljacha	kilsacha
Iterdia	interdia
amguzet	amguzhet
Daouzekved	daouzekvet
diroll	diroll
accompagnunecaat	akompagnunekaat
dizoan	dizoan
enabascder	habaskter
deuguent	daouugent
dianzavou	dianzav
truanter	truanter
doutein	doutadouti
braventeziou	braventez
dilavet	dilavet
dirrou	dirrou
zantuar	santual
dielbed	dierbed
amoniac	amoniak
goueledi	goueledi
dizhualet	dishualet
diforc'hein	diforc'hidiforc'hadiforc'h
karmelited	karmelited
Ablamzer	abellamzer
pe	pe
intr	intr
gouilMariaGuenholon	GouelMariaWengolo
lorbour	lorber
anfin	afin
aneizved	eizhved
divorloh	divorloc'h
bresermein	bresermein
