bancqouilinocq	ilinek
cathedral	katedral
taolpennskoaz	pennskoaz
ieued	yeu
urvamenbihue	mammennvev
Liasennad	liasennad
anaoudeg	anaoudeg
didamet	didammet
Dallpikh	dallpik
godiserez	godiserez
pridiriguez	prederigezh
fleuraziou	fleurajo
Parkatil	atil
blac'hkrot	plac'hkrot
arc'hrenizili	krenizili
trist	trist
hadgwelet	adwelout
mafelled'he	fellelfelloutfallout
aretourn	aretorn
bec'hian	bec'hiabec'hi
tranket	tranka
dizeret	dizereet
posterite	posterite
dic'houti	dic'houti
Krogheren	kroger
goualldenvalaat	gwalldevalaat
c'histin	kistin
Disputerien	disputer
aouelet	aouelet
henvelpoch	poch
hunal	hunealhunei
Haderez	haderez
Moustrer	moustrer
distagergeoyer	distager
contadellou	kontadell
nezifuillinket	difuilha
kolera	kolera
drlair	laer
atil	atil
Crapat	krapad
Azidenvo	didevidideva
Betzokoulz	koulz
Setuperag	setu
diazemant	diazezamant
damholl	damholl
toullobez	toullbez
sablen	sablenn
divez	diwezh
yohet	yoc'het
prst	prest
teurnneguedteurennyen	teurenneg
rangaloun	ranngalon
didamet	didammet
moumoun	moumoun
c'hoariellou	c'hoariell
bruzunadou	bruzunad
Kroaz	kroaz
strouilhon	strouilhon
zouaraat	douaraat
didenna	dedennadedenn
disvalet	disvaladisvalat
dic'hoanteguez	dic'hoantegezh
Tanijet	tanijet
ieuet	yeu
krim	krim
qiza	kizakizi
essaou	esa
bechik	bechik
humizellat	izelaat
balustr	balustr
loeinsam	loensamm
Tourta	tourtaltourta
scabelloutoussegued	skabelltouseg
rontt	roud
estlamet	estlammet
nevez	nevez
abeurfollaz	peurfolli
c'houezarfoulet	foulet
divez	diwezh
ehragoap	goap
iragned	iragnenn
koto	kotenn
mournaounet	marnaonet
flemmr	flemmaer
fripponniri	friponiri
tor	torr
breollyou	breol
dispennadurcorf	dispennadurkorf
unt	auntu
daconerez	takonerezh
vargorre	gorre
dispit	dispit
d'	sked
Douarneneziz	Douarneneziz
frondage	frondaj
dizispign	dizispign
brein	brein
charn	charn
arbreferans	preferas
intancius	intasius
fantaziec	fantaziek
blasfemereah	blasfemerezh
erder	herrder
grondinougrondined	grondin
puchet	puchet
harassal	harasal
zoubl	soubl
difforhance	diforc'has
victoret	viktoriviktoari
argourdrousarerdezhan	gourdrouz
Difrouezidiguez	difrouezhidigezh
isfont	isfont
zalmatenein	salmantenni
lappadennou	lapadenn
ahiniennou	ahinienno
sternaoter	sternaoter
Glu	glav
langagereah	langajerezh
boleu	bolo
difin	difina
brejo	brejeo
revoltet	ravoltet
echalbotomp	chalbotat
dantelezi	dantelezi
parahaul	paraheol
grecheneah	kristenezh
viatik	viatik
skuizet	skuizha
ponyu	poan
abiltd	abilded
hardenad	kadranad
peurlaza	peurlazha
Janseniach	jaseniezh
Blenhan	bleuvanhav
gouignbzel	kouignveuzel
Louzaouenarberralan	louzaouennarverranal
Godig	God
droukimpli	drougimplij
amzret	amzeri
penseet	peseet
Nonnik	Nonnig
gwelead	gwelead
muselleguesed	muzellegez
mourouellat	bourouellatbourouella
bistiga	pistiga
izelder	izelder
misonajo	misonajo
cheket	cheka
nec'heta	nec'het
herret	herret
vastikant	mastika
arc'hrignereskern	krignereskern
ac'hruzuil	ac'hruzuilh
derjenvouzar	terzhiennvouzar
avoalstag	gwallstaga
mirakuluz	mirakulus
C'houirinal	c'hwirinalc'hwirinatc'hwirini
arrestance	arestas
fumi	fumafumifumal
letonenn	letonenn
beneguedein	binnigedi
poullcanna	poullkanna
monstrus	mostruus
eurvazroue	bazhroue
gachik	gachig
Nacevitse	evitse
ziouech	diouch
amportemant	amportamant
leson	onn
indoarerh	endouarerezh
dizoania	dizoania
mo	mou
eillavaret	eillavarouteillavaret
Anasqornbelost	belost
ec'h	ez
tuchathatuchat	tuchanthatuchant
gorreaoter	gorreaoter
apeich	ampech
tev	tev
Jeremias	Jeremiaz
argerentiach	kerentiaj
neket	neket
tudnez	tudnes
diguiset	dic'hizet
PorzOliod	PorzhOlued
divroegueah	divroegezh
abardaesvez	abardaevezh
beurzistruja	peurzistruja
avamen	avama
boleat	boleaboleatbolei
faro	faro
pennoukenta	pennkenta
spurja	spurjaspurji
soubitamant	subitamant
ispired	inspirout
promessa	promesa
argastell	kastell
etablisset	etablisa
freuza	freuzafreuziatfreuzi
chutelad	chutellat
kltal	kaolteal
ricin	risin
dibennask	dibennask
lammerigued	lammerig
Encresi	enkrezi
Diframm	diframm
eurc'hofstam	kofstamm
moumoun	moumoun
steredenna	steredennisteredenna
ruroz	ruzroz
gouez	gouez
bardavez	pardaevezh
meanaoled	maenoaled
inclinationo	inklinasion
sabrenn	sablenn
farserez	farserezh
Goroadenn	goroadenn
dizillet	dizilha
galantereah	galanterezh
Braniellat	braniellat
argaden	argadenn
contadellou	kontadell
reigoudord'ign	goudor
zoutein	doutadouti
aspaden	aspadenn
bar	barr
abehkaer	abezhkaer
kementral	kemendarallkementarall
extrior	eksterior
avrhad	avrec'had
Arc'haoleier	kaoleg
arc'hemreg	kembraeg
marapin	rapinarapini
arBevareAmzer	amzer
lac'hadeier	lazhadeg
adammadamm	adammdadamm
goulenn	goulenn
grillet	grilhet
Grucefiereah	krusifierezh
Hiltut	Ildud
revoltet	ravoltet
adruez	truez
Nekuir	nekwir
begad	begad
visioni	misionimisionat
arvestrezplac'h	mestrezplac'h
dic'hri	diwri
fouildret	fouilhdret
aziarben	azirbenn
Qaliteou	kalite
igueded	inged
requintus	rekintus
dic'hlac'hari	dic'hlac'hari
Peurranna	peurranna
bervelet	berrwelet
bigot	bigod
santelaat	santelaat
Gouriaw	gouryev
riblad	riblad
aleizdorn	aleizhdorn
lorh	lorc'halorc'hi
eurvechennamzer	amzer
avieler	avieler
dreo	drev
diglac'hari	dic'hlac'hari
alammploumm	alammplom
parresioukanton	parrezkanton
disqueu	disk
estrewit	estrevit
tramzet	tramzet
andivezadou	diwezhad
pechad	pezhiadpezhad
dizebezet	disebezet
Toulllouarn	toulllouarn
syellet	siellasielli
divroad	divroaddivroiad
dilotet	dilotet
pave	pavez
sigur	esigur
hbrus	hebruz
zispital	dispitadispital
zianvet	dianvet
scrij	skrij
droherioncoet	troc'herkoad
kesten	kistin
foran	foran
avostadeu	avostado
fallgaloun	fallgalon
avrahad	avrec'had
iaoufask	YaouBaskYaouFask
dafia	tafia
licheryou	licheri
aretourn	retorn
Germanet	German
leunchec	leunchek
carnet	karnet
glaw	glav
hadkeuneud	hadkeuneud
jeinemant	jenamant
furchethadifurchet	difurchal
relation	relasion
zaoreleg	savreleg
Lennou	lenn
divadezet	divadezet
douj	douj
livaden	livadenn
Kornzigor	kornzigor
Dominiq	Dominik
ssonnet	saesonetsaezonet
berrentez	berrentez
seudanec	saouzanek
fatigus	fatikus
divoueded	divouedet
amzevosion	amzevosion
ervamgouh	mammgozh
stocandez	stokandeiz
tomaden	tommadenn
ez	ez
skas	skas
guinal	gwinal
dijanchet	desacha
enorapla	enorapl
degaget	degajet
zularPuslard	peuzlard
urvezennad	gwezennad
dizoan	dizoan
arc'hirriadan	karradan
ar	bir
stlacqou	stlak
Glozard	glozard
varzioual	warziwall
consolus	kosolus
II	uz
Ribouldiriboul	diriboul
troiopleg	trobleg
ispridettan	ispridet
Kastellan	kastellan
stribillenna	stribilhenna
Reogwenn	revgwenn
banklabour	banklabour
mn	men
poud	pout
ereguemr	regemer
touet	touet
forbanet	forbannet
amnoh	amen
reizet	reizhet
benezet	benezet
diroll	diroll
diranget	dirajet
Cato	Katou
divarc'heresdorejo	divarc'herezdorojo
dianzao	dianzav
enemzepita	depita
Croudigez	krouidigezh
disco	disk
douellus	touellus
gchogchobihan	gcho
kildroadur	kildroadur
Divirous	deverus
suspdus	suspedus
oall	gwall
adreuzdidreuz	treuzdidreuz
Vourgez	Bourjez
erspont	spont
chilp	chilp
ravolt	ravolt
voaperez	goapaerezh
bascanad	baskanad
arVelandinen	melandinenn
Sina	Sina
gabeleskop	kabelleskob
Beza	foran
Moumoun	moumoun
autegraf	otegraf
Delfinez	delfinez
victim	viktim
loreiloirei	lovralovri
digervel	dec'hervel
tuemzr	tommzer
varc'horre	warc'horre
zourrigal	sourrigal
difianus	difiziasus
Foulc'h	foulc'h
foubenn	foubenn
lipenhalapen	lipennhalapenn
gwal	gwall
reklen	renklenn
drogach	drogaj
prevedlugern	prevlugern
scod	skod
gourenesy	gourenez
spouronus	spouronus
vezimniavell	awell
purnez	purnezh
tobios	tobioz
tarkjertarvokjer	tarvkazh
inied	inia
mahomryen	mac'homer
enemzifraoia	difraoia
Dalvez	dalvez
Lezdastorlok	storlok
ravach	ravaj
askiantvad	skiantvat
scanvigen	skavijenn
edbrezelidi	brezeliad
erc'hornpleg	kornpleg
c'hlasvezi	glazvezi
education	edukasion
clemuchat	klemmuskat
tintampar	tintampar
scodou	skod
plein	plaen
penfond	pennfont
scrintellerez	skrintellerezh
rikamana	rikamana
klenkwarnhan	klenk
arC'houmblidou	komblido
c'huezadur	c'hwezadur
pardaeznoz	pardaeznoz
crouidigez	krouidigezh
sigur	esigur
prajeyer	pradtirien
skouiz	skuizh
gou	gouez
crozal	krozalkroza
dizao	disav
livrisa	livrizh
anatdioc'h	anat
telio	deliaouenn
ebatoahedoare	ebat
Morlivid	morlivid
gourdrouzereah	gourdrouzerezh
guezdero	derv
brizlenn	brizhlenn
arc'hbreuriez	arc'hbreuriezh
kikastenn	kigastenn
inutilamant	inutilamant
meudeusinaj	medisinaj
victorein	viktoriviktoari
veuzen	veuzen
baleanted	baleant
drodeu	droaddroed
enemhardizan	hardizhahardizhat
goudouer	goudor
Anat	anat
egras	egras
comboujou	kombod
ridicul	ridikul
peurzeski	peurzeski
fabric	fabrik
aviziken	aviziken
mann	mann
byellou	biell
Kivor	kimor
BecgDouar	begdouar
Kleizdour	gleizdourgleizhdour
digropet	digropet
broc'higargwenan	broc'higargwenan
margaloneg	margalonek
docil	dosil
requinage	rekinaj
Divodest	divodest
ral	arall
arc'halir	kalir
alouberien	alouber
zec'hor	sec'hor
Maotvelen	maotvelen
amandez	amandez
qordennad	kordennad
Spek	speg
begadou	begad
azornadeu	azornad(o)
Penduik	pennduig
ed	gidaz
rabin	rabin
dislealamant	dislealamant
truezouzomp	truez
dic'hizet	dic'hizet
dibord	debord
fassated	fasataet
afourga	fourgasi
kouhlaieu	kole
blank	blank
nebaoun	nebaon
caloned	kalonet
diaket	diaket
leurzy	leurzi
abilite	abilite
urvesaeres	maesaerez
bagatelleu	bagatell
hortauzit	hortaozit
divent	divent
porzmeur	porzhmeur
stouvet	stouvet
drougcalon	drougkalon
c'hlasvezi	glasvezi
erbromesse	promes
anrejistramant	arejistramant
suillaarvirionez	suilhasuilhi
digalon	digalon
enembareas	parea
misonet	misonet
barvegez	barvegez
bninou	abenneno
rezinen	rezinenn
gouihuan	gouez
escypsas	sklipsi
pacqou	pak
afa	afa
andudaboan	poan
dellezour	dellezour
reclom	reklom
sa	sa
guenel	gwennel
Epebent	hent
ravechou	ravent
pareed	pareet
skrigndent	skrigndent
Urban	Urban
turriet	turiet
basefoz	basefos
lastruz	lastrus
ascaout	askavout
aflao	flav
sansibl	sasipl
Delliddellit	dellid
erder	herrder
truflerezo	truflerezh
dreroudou	roud
didatek	dizanteg
diaulmud	mut
enemzifres	difres
hitropic	itropik
ingalded	ingalded
breffamant	brefamant
bida	bida
nebon	nebaon
foetfak	foetfank
tana	tana
loskus	loskus
arc'hegit	kegid
venjus	vejus
mailluret	mailhuret
pourchaset	pourchaset
dourioubeuz	beuz
Tsseeu	tez
boustouf	boustouv
lodenneker	lodennek
impar	ampar
gourvamgoh	gourvammgozh
Arouezet	arwezet
inclasquerion	enklasker
zouhet	souezhet
kombod	kombod
dislea	dizlea
gloeier	glav
barbar	barbar
rannour	ranner
efrinkashagetifrinkas	difrinka
diffoutre	difoutredifoultre
vangeancius	vajasius
randounen	randonenn
gouivd	gouez
dorchan	torchatorchi
peulpost	peulpost
dihalpet	dihalpet
qenidervesedcomps	kenitervgompez
dirodet	diroda
stourmad	stourmad
dourdiwask	dourdiwask
bir	bir
lucuen	louezaenn
treina	streina
meanfons	maenfos
lorhein	lorc'halorc'hi
dizanaoudegez	dizanaoudegezh
itropeq	itropik
bleguet	daoubleget
Galilea	Galilea
arluetdiouthan	harluaharlui
stourmad	stourmad
skiltr	skiltr
c'harante	karantez
huan	huanhue
autresi	aotrezi
varneranniliz	barnerIlizbarneranIliz
didamman	didammadidammi
dantier	dantier
in	aeno
melconied	melkoniet
hedanollamzer	amzer
querheisquerhair	kerc'heiz
damn	damn
gobdevezour	goprdevezhour
urvezenpalmez	gwezpalmez
dudius	dudius
Aotervraz	aoter
Tugdual	Tudwal
alamanden	alamandenn
entanet	entanet
arc'haban	kaban
briolage	priolaj
ravnd	ravent
maltre	mart
melen	douarmelen
lipet	lipet
dilladvele	dilhadgwele
estlamed	estlammet
antervreur	hantervreur
druillennek	truilhennek
Astaol	astaol
varzibrad	warzibrad
divroad	divroat
golead	gwelead
breta	brete
urhordon	kordon
ridgoaid	redgwad
Penduik	pennduig
balustraden	balustradenn
dizroullans	dizroulas
in	eno
seblantuz	seblantus
foudralis	foudralis
chicoloden	chikolodenn
filosof	filozof
ereahechoumadur	chomadur
promesaou	promesa
takon	takon
edkerzhin	kerzhinenn
vikeleach	vikelajvikeliaj
Staoter	staoter
zikourouz	sikoursikouri
abadrves	abardaevezh
ansouhettoh	ansouezhet
qarr	gwalenngarr
caniet	kaniet
damdon	damzon
leunchec	leunchek
evesdet	evezhded
superstisionou	superstision
difreguet	difreget
tamtam	tamtam
shedigueah	sec'hedigezh
arc'hleder	kleder
caffer	kaver
venjansus	vejasusvejasius
enemharpaz	harpaharpi
bourrussoh	bourrus
souc'het	souet
Minvroud	minvroud
zouellerez	touellerezh
Froudenna	froudenna
enemspurja	spurjaspurji
adrouc'htranch	troc'htrach
erBarrss	pares
atil	atil
bavard	bavart
astrabil	astrabilh
adrocont	adrokont
tivaloa	divalava
dineat	dinead
warwintel	warwintel
d'amgrons	damc'hros
aasfeillo	azfeilhi
iuzeo	yuzev
itik	itik
dirange	diraj
glouistr	gloestr
Eursizunvezioubennag	sizhunvezh
avriadkaer	avriadkaer
Agreis	agreiz
Crughellmerien	krugellverien
Ormandie	Normandi
didou	didou
eurvilinesken	milinheskenn
II	kel
lisquidussa	leskidus
arvreac'hzu	brec'hzu
diaonig	diaonik
angls	anglez
lussird	lusier
alintraz	lintralintri
aribl	aribl
breinadur	breinadur
pouliz	polis
bourret	bouret
drgreiz	dregreiz
akoutri	akoutri
askiant	askiant
hellest	kanastr
sperejoDoue	speredoDoue
didach	didach
fleurachi	fleuraji
penivinet	pennivinet
enemdic'hrocha	dic'hroja
reage	revaj
alamtourtarkaz	alammtourtargazh
ac'haoliet	gaoliad
stuiet	stouet
batoni	patoni
o	koll
eurc'hlec'h	klec'h
venjus	vejus
urhardriad	kardeuriad
brehguen	brizhgwenn
reniour	reneer
enemzic'hlac'haras	dic'hlac'hari
divoc'h	boc'h
Siet	siet
freuzo	freuzafreuziatfreuzi
platenneneu	platinenn
Gwazennvor	gwazhennvorgwazhiennvor
Klemvan	klemmvan
arc'hrenalter	krenalter
fouin	fouin
strelikes	strelikez
benezet	benezet
zizalla	dizalla
aoe	test
liant	liant
dellidou	dellid
diluc'het	diluc'ha
enezenad	enezennad
turiellerdouar	turiellerdouar
horerus	orrolus
lucha	lucha
diagned	diagon
sa	sa
petare	petare
agripoah	agrizpoazh
abadma	abad
digoustians	digoustias
fronellou	fronell
diskuill	diskuilh
obercompagnunezdezhan	kompagnunezh
mitieret	mitieret
enerhussa	nerzhusaat
sentabl	sentapl
flac'hou	flac'h
ebeuleuzed	ebeulez
kentraouet	kentraouet
varartiklarmaro	artikl
taulpesked	pesk
losthed	losthed
bodennet	bodennet
formidabl	formidapl
salad	salead
adreuzhagahed	adreuzhagahed
mamoukoz	mammgozh
krec'hillek	krec'hilhek
aberjoausaaz	peurjoaiusaat
zireoli	direoli
dissorbet	disorbet
inourabl	enorapl
gaffrgoez	gavrouez
taolru	taolru
roudienet	roudennet
guinerez	ginerezh
mentuka	meudika
onganti	onganti
Chal	chal
meri	merameri
guioc'hed	gioc'hkioc'h
pennaraog	pennaraog
heuen	huanhue
adreushacahed	adreuzhagahed
entronozda	entronoz
Corbiner	korbiner
Agreiztout	agreiztout
azelaouaz	goulenn
huan	huanhue
digoustianz	digoustias
ariolennadeu	ariolennado
lic'hiduz	lec'hidus
arc'horaden	goradennyer
discouraget	diskourajet
moust	moust
douj	douj
Nil	Nil
graamant	greiamant
ouallalli	gwallali
Torchit	torchatorchi
arumderum	arummdarumm
ac'hlasvezas	glasvezi
gwerc'h	gwerc'h
Thuriu	Turiav
pokholpoyol	pokiol
pedare	petare
anfin	afin
diranget	dirajet
alivadou	alivado
lousnach	lousnaj
goutab	goutapl
hent	hent
loenedsamm	loensamm
Kaouanen	kaouenenn
LouzaouensantBnad	louzaouennsantBenead
Mardoustac'h	mardoustac'h
arpompouz	harpaharpi
enterred	interet
tiridignat	diridignat
murmulou	murmur
splander	splannder
poliz	polis
ingunage	ingennaj
pluet	pluvet
leziobarnlezvarnio	lezvarn
abadm	abad
dilabour	dilabour
argrenedeg	krenedeg
moudenned	moudenn
guic'hal	gwic'hal
bugalah	bugeliezh
freozrup	freoz
fahuen	faouenn
Strapa	strapastrapat
munud	munut
col	koll
leveour	leveour
librance	libras
dohurret	red
Verleac	Merleag
tao	to
kours	koulz
disconterez	diskonterezh
enemzunta	sunta
vatand	vatant
goalgustum	gwallgustum
ac'harden	ac'hardenn
amhouyance	amouizias
jaujabl	jaojapl
dizacr	disakr
tirandus	tirantus
yalhbutum	yalc'hvutun
qignezegou	kignezeg
ezansoer	ezasouer
wardestum	warzastum
poullaounez	poullhavouez
mandogued	mandog
sansipla	sasipl
ascana	askana
dimez	dimeus
ratik	ratik
divaskellek	divaskellek
ollgarantezuz	hollgarantezus
agompetezeuz	kompeta
knevyet	krevia
aviziken	aviziken
galei	kalir
meingriz	maengris
ribincq	ribin
Loupenn	loupenn
pezad	pezhiadpezhad
helmourou	helmoer
Yvonaik	Ivona
tenneris	tenneris
erral	arall
diyahus	diyac'hus
enemizelaat	izelaat
Goafergwafer	goafer
pennkenta	pennkenta
luza	luza
hebiou	drebiou
dishavalet	dishavalet
strakerienlann	strakerlann
guinver	gwiver
erc'hombot	kombod
frak	frag
entanet	entanet
enkrougeuz	ekroug
Avaman	avama
anebeudouigou	anebeudoigo
aziabellguelet	aziabellgweled
merag	merak
fohonage	poc'honaj
d'eben	ebenheben
portughs	portugez
astdeu	asteudo
dallput	dallput
urblanonnen	plasonenn
Paalier	aliaalii
mudez	mudez
Daouc'hant	daouc'hant
astenned	astennet
dibled	dibled
dic'hoanteguez	dic'hoantegezh
dousik	dousik
pin	pin
despeigni	despegni
barbouellet	barbouellet
masmean	masmaen
divlas	divlaz
Glazc'hoarzin	glasc'hoarzhin
diavaezidi	diavaeziad
dromperi	trompiri
spered	debret
demeus	dimeus
pusuniet	pusuniet
papertimbr	timbr
isch	iskuizh
urhuenpalms	gwezpalmez
stribillet	istribilhet
mahet	mac'het
riblein	riblaribli
keuneuded	keuneudet
dizouil	disouilh
brillantoc'h	brilhant
scrij	skrij
Disal	disaldisi
qemenryenvor	kemenermor
rederpri	rederpri
goulc'har	goulc'her
porzmeur	porzhmeur
Coummannaiz	Kommannaiz
Gadoreskob	kadoreskob
caractrieu	karakter
finvad	finvad
cajolus	kajolus
divilid	diverit
pellen	pellenn
dermat	termaltermat
laouenidigez	laouenidigezh
taolru	ru
demeuz	dimeus
coagri	koaga
eurgadorbortez	kadorbortez
orglseu	orglez
flouradergalon	flouraat
touyereaheu	touerezh
Mignouneta	mignoneta
trabasser	trabaser
izela	izel
druillia	truilha
marc'hglaour	glaouaerglaouer
bragaouet	bragaouet
scavelarded	skavelard
pitik	pitik
flipa	flipaflipatflipi
Dagenver	dagever
spoes	poes
pressouer	presouer
aroarscrigndent	skrigndent
mouguereah	mougerezh
peurzila	peursila
calmed	kalmet
offertour	ofertouer
Urban	Urban
wardastoun	wardaston
diwoarvar	diwarvar
zenalezen	denalezenn
Suhunourrnerion	sizhuner
lazidigesiou	lazhidigezh
delivrans	dilivras
keitall	all
chouket	chouket
eurc'harbount	karrbont
aotervraz	aoter
rimadella	rimadella
sentusous	sentus
disurzou	dizurzh
tisfi	disfizioutdisfiout
persvrance	perseveras
bourus	bourrus
doutec	touteg
trzhatrzd'	treuzhatreuz
porskloz	porzhkloz
Spinac'ha	spinac'haspinac'hi
aanter	ahanter
stoupaerien	stoupaer
enepmann	mann
o	chour
koant	koant
margeu	marko
choumwarziaskren	diaskren
tana	tana
dishentcha	dishenta
dife	difeiz
dizikour	disikour
grennegellek	krenegellek
blazahadivlaza	divlaza
blansounet	plasonet
zero	derv
Taltous	taltouz
simplamant	semplamant
bourmeni	pourmenpourmeni
Branguilly	Brangilli
aisprid	aisprid
glaoyer	glav
suner	suner
daouugent	daouugent
visenAvnd	Azvent
pesquetarion	pesketaer
berdler	peurdeurel
tourioutan	tourtan
erstalgostez	astalgostez
relia	relia
mecherourpleg	micherourpleg
krennakrenn	krennhakrenn
pistiget	pistiga
jostram	jostrom
mouchourjubile	mouchouerjubile
ezeden	dedennadedenn
luhrieu	luher
tredemars	tredemarzh
maroni	maroni
rip	rip
onganti	onganti
koac'ha	koazhakoazhi
ankounac'had	ankounac'haat
yac'hbeo	yac'hbev
chagrin	chagrin
impar	ampar
normand	Normand
deolediguez	deoledigezh
ledandd	ledanded
sagrin	chagrin
uz	uz
sioulec	sioulek
eurvagfroderez	floder
reputation	reputasion
awe	awe
trs	tres
frounlleryen	froneller
arc'houarnamant	gouarnamant
fleur	fleur
Vantredie	vantredie
enemrei	rei
pennbizyer	pennbazh
aziwardro	aziwardro
guallElez	gwallael
Petore	petore
bokodzadJozeb	bokedsantJozeb
nizez	nizeznieznizh
anderzienvelen	terzhiennvelen
dispar	dispar
lzpeket	laezhpeget
couzoumenni	kouzoumenni
talvouduz	talvoudus
aharp	aharp
margaloned	margalonet
Brezeliad	brezeliad
Peur	peur
urvlazenn	blazenn
talvouduz	talvoudus
Japon	Japon
morgenn	morgenn
yuzerez	yuzerezh
Qellid	kellid
soup	soubl
demvelen	damvelen
amzergers	amzergers
Roud	roud
liboustec	liboustek
adlevezo	dlevezout
scraberez	skraperezh
hoarielleu	c'hoariell
wazpewaz	gwazhpewazh
grek	grek
vouchadou	avouchado
aberscleraio	peursklaeraat
gic'hat	gwic'hal
n'ousketpet	nousketpet
cabanennou	kabanenn
henvelpoch	poch
adreushacahed	adreuzhagahed
dizesc	dizesk
nevezet	nevezet
Mardoust	mardoust
sorc'heni	sorc'hennasorc'henni
avrehadeu	avrec'hado
ciudis	siudis
apreste	aprest
divargount	diwargont
emganna	emgannaemganni
kadeurEskop	kadoreskob
Monika	Monika
drboen	poan
lorbour	lorber
gut	gweet
importune	importuni
Dallpoch	poch
Divodrage	divoderaj
karrarmaro	karrarmarv
brev	brev
rukunuz	rukunus
Trugar	trugar
drevaroudou	roud
digor	digor
mann	mann
disanve	dizanavez
pourceln	porselen
all	all
takezen	takezenn
dissorb	disorb
avryadcar	avriadkaer
kalmouk	kalmouk
Redemsion	redempsion
Ave	ave
Breta	brete
SantVazePennarBed	SantVazhePennarBed
penaska	pennaska
ludusitr	ludusitrludusit
dagantifi	kantdifia
becqedigou	beked
urbvarenn	pevarenn
Taffou	taf
transfiguration	trasfigurasion
azgwerzet	azgwerzha
Avitin	avintin
glasktrabasouc'h	trabas
fanfarluchou	fafarlucho
oall	gwall
Leok	leog
menpost	maenpost
letonenn	letonenn
eurc'harziat	garzhadgarzhiad
warhegrabosou	kraboso
gleu	glav
porc'helgouez	porc'hellgouez
digloz	digloz
goallbaea	gwallbaea
pennfollet	pennfollet
druillennek	druilhennek
creyeryod	krogyod
kadeurvarn	kadorvarn
godissogodisset	godisalgodisa
ebort	hebort
ehadretorne	adretorn
ankoua	ankoua
vastinguet	vastinget
penveuzet	penveuzet
abuset	abuziabuz
eurbaludenn	paludenn
disenoui	dizenoei
voeltrach	foeltraj
assurentez	asurentez
skuiza	skuizha
dervesiad	devezhiad
santleit	santelaat
sclat	skolaat
deliable	dleapl
tadargeier	tadargaouargevier
avitin	avintin
Fanch	Fach
dizaounica	dizaonik
dic'hiseten	dic'hizet
intru	intru
laskroug	laskroug
gwallstad	gwallstad
devrranceu	diverras
gaout	truez
sanklet	sanket
dissouill	disouilh
peskedcrogennog	peskkrogennek
kasta	kastra
